query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
10034,bm25,0.000000,0.000000,0.000000,0.500000,0.000000
10034,dense,0.204382,0.000000,0.500000,0.500000,0.142857
10034,rrf,0.237198,0.500000,0.500000,0.500000,0.200000
10034,rrf_rerank,0.218407,0.000000,0.500000,0.500000,0.166667
10039,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
10039,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10039,rrf,0.315465,0.000000,1.000000,1.000000,0.125000
10039,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
10109,bm25,0.393259,0.285714,0.285714,0.285714,1.000000
10109,dense,0.412314,0.285714,0.285714,0.428571,1.000000
10109,rrf,0.448304,0.285714,0.285714,0.428571,1.000000
10109,rrf_rerank,0.448304,0.285714,0.285714,0.428571,1.000000
10122,bm25,0.112845,0.000000,0.250000,0.250000,0.100000
10122,dense,0.195190,0.250000,0.250000,0.750000,0.333333
10122,rrf,0.246302,0.250000,0.250000,0.750000,0.500000
10122,rrf_rerank,0.390380,0.250000,0.250000,0.750000,1.000000
10136,bm25,0.000000,0.000000,0.000000,0.333333,0.000000
10136,dense,0.141267,0.000000,0.333333,0.333333,0.111111
10136,rrf,0.000000,0.000000,0.000000,0.333333,0.000000
10136,rrf_rerank,0.000000,0.000000,0.000000,0.333333,0.000000
10137,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
10137,dense,0.430677,1.000000,1.000000,1.000000,0.250000
10137,rrf,0.356207,0.000000,1.000000,1.000000,0.166667
10137,rrf_rerank,0.386853,1.000000,1.000000,1.000000,0.200000
10152,bm25,0.500000,1.000000,1.000000,1.000000,0.333333
10152,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10152,rrf,0.630930,1.000000,1.000000,1.000000,0.500000
10152,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
10183,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10183,dense,0.184576,0.000000,0.500000,0.500000,0.111111
10183,rrf,0.000000,0.000000,0.000000,0.500000,0.000000
10183,rrf_rerank,0.204382,0.000000,0.500000,0.500000,0.142857
10213,bm25,0.202107,0.333333,0.333333,0.666667,0.250000
10213,dense,0.000000,0.000000,0.000000,0.666667,0.000000
10213,rrf,0.234639,0.333333,0.333333,0.333333,0.333333
10213,rrf_rerank,0.000000,0.000000,0.000000,0.333333,0.000000
10246,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10246,dense,0.000000,0.000000,0.000000,0.500000,0.000000
